Gen 116 | 0 1 0 1 0 1 0 1 0 1 
Gen 117 | 1 0 1 0 1 0 1 0 1 0 
Gen 118 | 0 1 0 1 0 1 0 1 0 1 
Gen 119 | 1 0 1 0 1 0 1 0 1 0 
Gen 120 | 0 1 0 1 0 1 0 1 0 1 
Gen 121 | 1 0 1 0 1 0 1 0 1 0 
Gen 122 | 0 1 0 1 0 1 0 1 0 1 
Gen 123 | 1 0 1 0 1 0 1 0 1 0 
Gen 124 | 0 1 0 1 0 1 0 1 0 1 
Gen 125 | 1 0 1 0 1 0 1 0 1 0 
Gen 126 | 0 1 0 1 0 1 0 1 0 1 
Gen 127 | 1 0 1 0 1 0 1 0 1 0 
Gen 128 | 0 1 0 1 0 1 0 1 0 1 
Gen 129 | 1 0 1 0 1 0 1 0 1 0 
Gen 130 | 0 1 0 1 0 1 0 1 0 1 
Gen 131 | 1 0 1 0 1 0 1 0 1 0 
Gen 132 | 0 1 0 1 0 1 0 1 0 1 
Gen 133 | 1 0 1 0 1 0 1 0 1 0 
Gen 134 | 0 1 0 1 0 1 0 1 0 1 
Gen 135 | 1 0 1 0 1 0 1 0 1 0 
Gen 136 | 0 1 0 1 0 1 0 1 0 1 
Gen 137 | 1 0 1 0 1 0 1 0 1 0 
Gen 138 | 0 1 0 1 0 1 0 1 0 1 
Gen 139 | 1 0 1 0 1 0 1 0 1 0 
Gen 140 | 0 1 0 1 0 1 0 1 0 1 
Gen 141 | 1 0 1 0 1 0 1 0 1 0 
Gen 142 | 0 1 0 1 0 1 0 1 0 1 
Gen 143 | 1 0 1 0 1 0 1 0 1 0 
Gen 144 | 0 1 0 1 0 1 0 1 0 1 
Gen 145 | 1 0 1 0 1 0 1 0 1 0 
Gen 146 | 0 1 0 1 0 1 0 1 0 1 
Gen 147 | 1 0 1 0 1 0 1 0 1 0 
Gen 148 | 0 1 0 1 0 1 0 1 0 1 
Gen 149 | 1 0 1 0 1 0 1 0 1 0 
Gen 150 | 0 1 0 1 0 1 0 1 0 1 
Gen 151 | 1 0 1 0 1 0 1 0 1 0 
Gen 152 | 0 1 0 1 0 1 0 1 0 1 
Gen 153 | 1 0 1 0 1 0 1 0 1 0 
Gen 154 | 0 1 0 1 0 1 0 1 0 1 
Gen 155 | 1 0 1 0 1 0 1 0 1 0 
Gen 156 | 0 1 0 1 0 1 0 1 0 1 
Gen 157 | 1 0 1 0 1 0 1 0 1 0 
Gen 158 | 0 1 0 1 0 1 0 1 0 1 
Gen 159 | 1 0 1 0 1 0 1 0 1 0 
Gen 160 | 0 1 0 1 0 1 0 1 0 1 
Gen 161 | 1 0 1 0 1 0 1 0 1 0 
Gen 162 | 0 1 0 1 0 1 0 1 0 1 
Gen 163 | 1 0 1 0 1 0 1 0 1 0 
Gen 164 | 0 1 0 1 0 1 0 1 0 1 
Gen 165 | 1 0 1 0 1 0 1 0 1 0 
Gen 166 | 0 1 0 1 0 1 0 1 0 1 
Gen 167 | 1 0 1 0 1 0 1 0 1 0 
Gen 168 | 0 1 0 1 0 1 0 1 0 1 
Gen 169 | 1 0 1 0 1 0 1 0 1 0 
Gen 170 | 0 1 0 1 0 1 0 1 0 1 
Gen 171 | 1 0 1 0 1 0 1 0 1 0 
Gen 172 | 0 1 0 1 0 1 0 1 0 1 
Gen 173 | 1 0 1 0 1 0 1 0 1 0 
Gen 174 | 0 1 0 1 0 1 0 1 0 1 
Gen 175 | 1 0 1 0 1 0 1 0 1 0 
Gen 176 | 0 1 0 1 0 1 0 1 0 1 
Gen 177 | 1 0 1 0 1 0 1 0 1 0 
Gen 178 | 0 1 0 1 0 1 0 1 0 1 
Gen 179 | 1 0 1 0 1 0 1 0 1 0 
